Elapsed,PiezoValue,BucketFlip,BucketCount
,0,0
2267642,273,0,0
2267743,284,0,0
2267844,2306616,272,0,0
2306717,272,0,0
2306818,277,0,0
2306919,272,0,0
2307020,275,0,0
2307121,275,0,0
2307222,287,0,0
2307323,268,0,0
2307424,268,0,0
2307525,274,0,0
2307626,282,0,0
2307727,266,0,0
2307828,279,0,0
2307929,273,0,0
2308030,265,0,0
2308131,287,0,0
2308232,272,0,0
2308333,282,0,0
2308434,267,0,0
2308535,271,0,0
2308636,274,0,0
2308737,269,0,0
2308838,279,0,0
2308939,276,0,0
2309040,269,0,0
2309141,271,0,0
2309242,264,0,0
2309343,277,0,0
2309444,277,0,0
2309545,264,0,0
2309646,274,0,0
2309747,272,0,0
2309848,280,0,0
2309949,278,0,0
2310050,287,0,0
2310151,261,0,0
2310252,283,0,0
2310353,285,0,0
2310454,284,0,0
2310555,285,0,0
2310656,271,0,0
2310757,299,0,0
2310858,269,0,0
2310959,269,0,0
2311060,274,0,0
2311161,273,0,0
2311262,282,0,0
2311363,278,0,0
2311464,274,0,0
2311565,266,0,0
2311666,266,0,0
2311767,282,0,0
2311868,290,0,0
2311969,274,0,0
2312070,273,0,0
2312171,278,0,0
2312272,274,0,0
2312373,267,0,0
2312474,265,0,0
2312575,278,0,0
2312676,290,0,0
2312777,261,0,0
2312878,281,0,0
2312979,265,0,0
2313080,273,0,0
2313181,286,0,0
2313282,294,0,0
2313383,266,0,0
2313484,287,0,0
2313585,283,0,0
2313686,302,0,0
2313787,272,0,0
2313888,262,0,0
2313989,271,0,0
2314090,267,0,0
2314191,271,0,0
2314292,259,0,0
2314393,270,0,0
2314494,288,0,0
2314595,274,0,0
2314696,281,0,0
2314797,267,0,0
2314898,261,0,0
2314999,279,0,0
2315100,263,0,0
2315201,282,0,0
2315302,271,0,0
2315403,260,0,0
2315504,277,0,0
2315605,287,0,0
2315706,267,0,0
2315807,274,0,0
2315908,264,0,0
2316009,286,0,0
2316110,262,0,0
2316211,267,0,0
2316312,271,0,0
2316413,265,0,0
2316514,271,0,0
2316615,282,0,0
2316716,270,0,0
2316817,283,0,0
2316918,263,0,0
2317019,283,0,0
2317120,272,0,0
2317221,278,0,0
2317322,274,0,0
2317423,277,0,0
2317524,270,0,0
2317625,275,0,0
2317726,278,0,0
2317827,297,0,0
2317928,271,0,0
2318029,277,0,0
2318130,270,0,0
2318231,274,0,0
2318332,284,0,0
2318433,286,0,0
2318534,290,0,0
2318635,263,0,0
2318736,281,0,0
