Elapsed,PiezoValue,BucketFlip,BucketCount

32824,14,0,0
32830,14,0,0
32836,12,0,0
32842,14,0,0
32848,14,0,0
32854,13,0,0
32860,16,0,0
32866,12,0,0
32872,13,0,0
32878,16,0,0
32884,13,0,0
32890,13,0,0
32896,14,0,0
32902,11,0,0
32908,13,0,0
32914,13,0,0
32920,13,0,0
32926,13,0,0
32932,13,0,0
32938,14,0,0
32944,15,0,0
32950,14,0,0
32956,12,0,0
32962,16,0,0
32968,16,0,0
32974,15,0,0
32980,14,0,0
32986,13,0,0
32992,15,0,0
32998,14,0,0
33004,13,0,0
33010,16,0,0
33016,12,0,0
33022,13,0,0
33028,17,0,0
33034,12,0,0
33040,15,0,0
33046,14,0,0
33052,10,0,0
33058,15,0,0
33064,13,0,0
33070,12,0,0
33076,13,0,0
33082,14,0,0
33088,17,0,0
33094,13,0,0
33100,13,0,0
33106,13,0,0
33112,16,0,0
33118,17,0,0
33124,13,0,0
33130,14,0,0
33136,13,0,0
33142,12,0,0
33148,12,0,0
33154,13,0,0
33160,13,0,0
33166,13,0,0
33172,13,0,0
33178,15,0,0
33184,13,0,0
33190,15,0,0
33196,15,0,0
33202,11,0,0
33208,15,0,0
33214,12,0,0
33220,16,0,0
33226,15,0,0
33232,14,0,0
33238,13,0,0
33244,13,0,0
33250,13,0,0
33256,13,0,0
33262,13,0,0
33268,13,0,0
33274,15,0,0
33280,10,0,0
33286,11,0,0
33292,13,0,0
33298,14,0,0
33304,12,0,0
33310,15,0,0
33316,17,0,0
33322,12,0,0
33328,14,0,0
33334,10,0,0
33340,12,0,0
33346,13,0,0
33352,14,0,0
33358,14,0,0
33364,13,0,0
33370,11,0,0
33376,14,0,0
33382,13,0,0
33388,12,0,0
33394,12,0,0
33400,10,0,0
33406,15,0,0
33412,12,0,0
33418,10,0,0
33424,11,0,0
33430,14,0,0
33436,11,0,0
33442,14,0,0
33448,13,0,0
33454,14,0,0
33460,13,0,0
33466,13,0,0
33472,13,0,0
33478,14,0,0
33484,12,0,0
33490,13,0,0
33496,13,0,0
33502,11,0,0
33508,13,0,0
33514,14,0,0
33520,13,0,0
33526,14,0,0
33532,15,0,0
33538,10,0,0
33544,10,0,0
33550,13,0,0
33556,15,0,0
33562,10,0,0
33568,13,0,0
33574,15,0,0
33580,18,0,0
33586,12,0,0
33592,15,0,0
33598,12,0,0
33604,13,0,0
33610,12,0,0
33616,14,0,0
33622,12,0,0
33628,13,0,0
33634,13,0,0
33640,12,0,0
33646,14,0,0
33652,14,0,0
33658,14,0,0
33664,12,0,0
33670,12,0,0
33676,11,0,0
33682,14,0,0
33688,12,0,0
33694,11,0,0
33700,12,0,0
33706,14,0,0
33712,13,0,0
33718,13,0,0
33724,12,0,0
33730,15,0,0
33736,12,0,0
33742,15,0,0
33748,13,0,0
33754,13,0,0
33760,13,0,0
33766,12,0,0
33772,11,0,0
33778,11,0,0
33784,14,0,0
33790,12,0,0
33796,12,0,0
33802,12,0,0
33808,12,0,0
33814,15,0,0
33820,10,0,0
33826,14,0,0
33832,14,0,0
33838,13,0,0
33844,12,0,0
33850,13,0,0
33856,14,0,0
33862,14,0,0
33868,9,0,0
33874,16,0,0
33880,15,0,0
33886,15,0,0
33892,12,0,0
33898,12,0,0
33904,12,0,0
