Elapsed,PiezoValue,BucketFlip,BucketCount
456797,14,0,0
456803,16,0,0
456809,9,0,0
456815,11,0,0
456821,12,0,0
456827,13,0,0
456833,15,0,0
456839,13,0,0
456845,12,0,0
456851,13,0,0
456857,11,0,0
456863,12,0,0
456869,13,0,0
456875,15,0,0
456881,13,0,0
456887,10,0,0
456893,10,0,0
456899,12,0,0
456905,18,0,0
456911,11,0,0
456917,13,0,0
456923,12,0,0
456929,11,0,0
456935,13,0,0
456941,15,0,0
456947,11,0,0
456953,11,0,0
456959,23,0,0
456965,13,0,0
456971,13,0,0
456977,11,0,0
456983,11,0,0
456989,12,0,0
456995,14,0,0
457001,12,0,0
457007,13,0,0
457013,11,0,0
457019,17,0,0
457025,13,0,0
457031,13,0,0
457037,15,0,0
457043,9,0,0
457049,13,0,0
457055,12,0,0
457061,10,0,0
457067,13,0,0
457073,16,0,0
457079,13,0,0
457085,15,0,0
457091,14,0,0
457097,13,0,0
457103,14,0,0
457109,14,0,0
457115,13,0,0
457121,12,0,0
457127,12,0,0
457133,11,0,0
457139,12,0,0
457145,14,0,0
457151,12,0,0
457157,18,0,0
457163,14,0,0
457169,11,0,0
457175,13,0,0
457181,13,0,0
457187,13,0,0
457193,13,0,0
457199,9,0,0
457205,13,0,0
457211,12,0,0
457217,12,0,0
457223,15,0,0
457229,18,0,0
457235,10,0,0
457241,12,0,0
457247,10,0,0
457253,21,0,0
457259,14,0,0
457265,14,0,0
457271,12,0,0
457277,9,0,0
457283,12,0,0
457289,17,0,0
457295,11,0,0
457301,11,0,0
457307,8,0,0
457313,14,0,0
457319,10,0,0
457325,12,0,0
457331,15,0,0
457337,11,0,0
457343,17,0,0
457349,10,0,0
457355,11,0,0
457361,12,0,0
457367,13,0,0
457373,17,0,0
457379,11,0,0
457385,10,0,0
457391,11,0,0
457397,9,0,0
457403,14,0,0
457409,12,0,0
457415,12,0,0
457421,12,0,0
457427,13,0,0
457433,12,0,0
457439,13,0,0
457445,11,0,0
457451,12,0,0
457457,17,0,0
457463,10,0,0
457469,11,0,0
457475,10,0,0
457481,12,0,0
457487,15,0,0
457493,13,0,0
457499,11,0,0
457505,11,0,0
457511,13,0,0
457517,15,0,0
457523,14,0,0
457529,16,0,0
457535,9,0,0
457541,11,0,0
457547,12,0,0
457553,14,0,0
457559,10,0,0
457565,9,0,0
457571,13,0,0
457577,10,0,0
457583,20,0,0
457589,16,0,0
457595,14,0,0
457601,12,0,0
457607,10,0,0
457613,16,0,0
457619,13,0,0
457625,13,0,0
457631,12,0,0
457637,15,0,0
457643,14,0,0
457649,13,0,0
457655,13,0,0
457661,14,0,0
457667,17,0,0
457673,13,0,0
457679,12,0,0
457685,15,0,0
457691,13,0,0
457697,13,0,0
457703,19,0,0
457709,11,0,0
457715,12,0,0
457721,14,0,0
457727,14,0,0
457733,11,0,0
457739,14,0,0
457745,11,0,0
457751,17,0,0
457757,14,0,0
457763,13,0,0
457769,15,0,0
457775,11,0,0
457781,12,0,0
457787,11,0,0
457793,13,0,0
457799,14,0,0
457805,13,0,0
457811,17,0,0
457817,13,0,0
457823,20,0,0
457829,12,0,0
457835,9,0,0
457841,12,0,0
457847,13,0,0
457853,14,0,0
457859,14,0,0
457865,14,0,0
457871,15,0,0
457877,10,0,0
457883,13,0,0
457889,13,0,0
457895,13,0,0
457901,11,0,0
457907,14,0,0
457913,13,0,0
457919,12,0,0
457925,14,0,0
457931,12,0,0
457937,14,0,0
457943,12,0,0
457949,11,0,0
457955,13,0,0
457961,13,0,0
457967,14,0,0
457973,12,0,0
457979,17,0,0
457985,16,0,0
457991,14,0,0
457997,11,0,0
458003,14,0,0
458009,16,0,0
458015,12,0,0
458021,12,0,0
458027,14,0,0
458033,12,0,0
458039,13,0,0
458045,13,0,0
458051,13,0,0
458057,12,0,0
458063,12,0,0
458069,9,0,0
458075,9,0,0
458081,11,0,0
458087,14,0,0
458093,13,0,0
458099,13,0,0
458105,13,0,0
458111,10,0,0
458117,13,0,0
458123,9,0,0
458129,12,0,0
458135,16,0,0
458141,12,0,0
458147,11,0,0
458153,12,0,0
458159,10,0,0
458165,10,0,0
458171,11,0,0
458177,9,0,0
458183,14,0,0
458189,16,0,0
458195,10,0,0
458201,12,0,0
458207,10,0,0
458213,14,0,0
458219,15,0,0
458225,16,0,0
458231,12,0,0
458237,12,0,0
458243,12,0,0
458249,14,0,0
458255,13,0,0
458261,13,0,0
458267,14,0,0
458273,16,0,0
458279,12,0,0
458285,18,0,0
458291,15,0,0
458297,11,0,0
458303,17,0,0
458309,12,0,0
458315,10,0,0
458321,14,0,0
458327,11,0,0
458333,12,0,0
458339,17,0,0
458345,13,0,0
458351,13,0,0
458357,14,0,0
458363,8,0,0
458369,12,0,0
458375,13,0,0
458381,12,0,0
458387,19,0,0
458393,19,0,0
458399,14,0,0
458405,13,0,0
458411,13,0,0
458417,14,0,0
458423,11,0,0
458429,14,0,0
458435,10,0,0
458441,13,0,0
458447,18,0,0
458453,11,0,0
458459,15,0,0
458465,12,0,0
458471,14,0,0
458477,14,0,0
458483,13,0,0
458489,15,0,0
458495,12,0,0
458501,13,0,0
458507,12,0,0
458513,10,0,0
458519,13,0,0
458525,16,0,0
458531,15,0,0
458537,15,0,0
458543,16,0,0
458549,8,0,0
458555,10,0,0
458561,12,0,0
458567,10,0,0
458573,17,0,0
458579,16,0,0
458585,9,0,0
458591,17,0,0
458597,10,0,0
458603,10,0,0
458609,12,0,0
458615,16,0,0
458621,10,0,0
458627,9,0,0
458633,12,0,0
458639,13,0,0
458645,12,0,0
458651,16,0,0
458657,13,0,0
458663,13,0,0
458669,13,0,0
458675,16,0,0
458681,11,0,0
458687,14,0,0
458693,11,0,0
458699,17,0,0
458705,13,0,0
458711,11,0,0
458717,14,0,0
458723,11,0,0
458729,7,0,0
458735,12,0,0
458741,13,0,0
458747,12,0,0
458753,14,0,0
458759,11,0,0
458765,12,0,0
458771,12,0,0
458777,13,0,0
458783,11,0,0
458789,15,0,0
458795,14,0,0
458801,17,0,0
458807,19,0,0
458813,12,0,0
458819,11,0,0
458825,13,0,0
458831,7,0,0
458837,13,0,0
458843,14,0,0
458849,9,0,0
458855,14,0,0
458861,16,0,0
458867,15,0,0
458873,11,0,0
458879,12,0,0
458885,13,0,0
458891,13,0,0
458897,14,0,0
458903,11,0,0
458909,11,0,0
458915,13,0,0
458921,15,0,0
458927,13,0,0
458933,11,0,0
458939,10,0,0
458945,14,0,0
458951,13,0,0
458957,12,0,0
458963,14,0,0
458969,11,0,0
458975,14,0,0
458981,13,0,0
458987,10,0,0
458993,13,0,0
458999,15,0,0
459005,10,0,0
459011,13,0,0
