Elapsed,PiezoValue,BucketFlip,BucketCount
269,0,0
2242908,2263905,287,0,0
2264006,276,0,0
2264107,269,0,0
2264208,259,0,0
2264309,282,0,0
2264410,268,0,0
2264511,270,0,0
2264612,287,0,0
2264713,281,0,0
2264814,262,0,0
2264915,276,0,0
2265016,276,0,0
2265117,270,0,0
2265218,279,0,0
2265319,291,0,0
2265420,284,0,0
2265521,262,0,0
2265622,267,0,0
2265723,274,0,0
2265824,284,0,0
2265925,265,0,0
2266026,261,0,0
2266127,271,0,0
2266228,279,0,0
2266329,279,0,0
2266430,283,0,0
2266531,274,0,0
2266632,262,0,0
2266733,277,0,0
2266834,274,0,0
2266935,263,0,0
2267036,280,0,0
