Elapsed,PiezoValue,BucketFlip,BucketCount

588363,9,0,3
588374,9,0,3
662664,8,0,3
662675,9,0,3
662686,7,0,3
662697,11,0,3
662708,6,0,3
662719,7,0,3
662730,11,0,3
662741,11,0,3
662752,10,0,3
662763,11,0,3
662774,9,0,3
662785,9,0,3
662796,8,0,3
662807,6,0,3
662818,8,0,3
662829,9,0,3
662840,9,0,3
662851,9,0,3
662862,9,0,3
662873,9,0,3
662884,10,0,3
662895,10,0,3
662906,4,0,3
662917,9,0,3
662928,8,0,3
662939,6,0,3
662950,7,0,3
662961,7,0,3
662972,9,0,3
662983,10,0,3
662994,10,0,3
663005,8,0,3
663016,7,0,3
663027,9,0,3
663038,8,0,3
663049,10,0,3
663060,10,0,3
663071,7,0,3
663082,11,0,3
663093,9,0,3
663104,10,0,3
663115,7,0,3
663126,10,0,3
663137,10,0,3
663148,9,0,3
663159,9,0,3
663170,9,0,3
663181,10,0,3
663192,8,0,3
663203,8,0,3
663214,11,0,3
663225,10,0,3
663236,7,0,3
663247,8,0,3
663258,7,0,3
663269,8,0,3
663280,10,0,3
663291,9,0,3
663302,9,0,3
663313,13,0,3
663324,10,0,3
663335,10,0,3
663346,10,0,3
663357,9,0,3
663368,10,0,3
663379,10,0,3
663390,8,0,3
663401,9,0,3
663412,8,0,3
663423,7,0,3
663434,7,0,3
663445,9,0,3
663456,9,0,3
663467,9,0,3
663478,9,0,3
663489,8,0,3
663500,11,0,3
663511,10,0,3
663522,8,0,3
663533,10,0,3
663544,8,0,3
663555,8,0,3
663566,10,0,3
663577,9,0,3
663588,9,0,3
663599,10,0,3
663610,7,0,3
663621,7,0,3
663632,10,0,3
663643,8,0,3
663654,8,0,3
663665,9,0,3
663676,8,0,3
663687,8,0,3
663698,9,0,3
663709,11,0,3
663720,10,0,3
663731,9,0,3
663742,9,0,3
663753,8,0,3
663764,7,0,3
663775,9,0,3
663786,6,0,3
663797,11,0,3
663808,10,0,3
663819,8,0,3
663830,10,0,3
663841,7,0,3
663852,9,0,3
663863,7,0,3
663874,9,0,3
663885,12,0,3
663896,9,0,3
663907,10,0,3
663918,12,0,3
663929,9,0,3
