Elapsed,PiezoValue,BucketFlip,BucketCount
3
199052,13,0,3
199063,581026,7,0,3
581037,5,0,3
581048,6,0,3
581059,9,0,3
581070,8,0,3
581081,6,0,3
581092,8,0,3
581103,7,0,3
581114,9,0,3
581125,10,0,3
581136,6,0,3
581147,8,0,3
581158,8,0,3
581169,7,0,3
581180,8,0,3
581191,12,0,3
581202,8,0,3
581213,8,0,3
581224,8,0,3
581235,8,0,3
581246,8,0,3
581257,8,0,3
581268,13,0,3
581279,6,0,3
581290,7,0,3
581301,8,0,3
581312,13,0,3
581323,7,0,3
581334,6,0,3
581345,9,0,3
581356,8,0,3
581367,7,0,3
581378,7,0,3
581389,8,0,3
581400,8,0,3
581411,9,0,3
581422,9,0,3
581433,8,0,3
581444,9,0,3
581455,7,0,3
581466,9,0,3
581477,9,0,3
581488,7,0,3
581499,6,0,3
581510,8,0,3
581521,6,0,3
581532,8,0,3
581543,8,0,3
581554,7,0,3
581565,9,0,3
581576,9,0,3
581587,6,0,3
581598,10,0,3
581609,8,0,3
581620,8,0,3
581631,7,0,3
581642,6,0,3
581653,9,0,3
581664,8,0,3
581675,7,0,3
581686,8,0,3
581697,10,0,3
581708,8,0,3
581719,7,0,3
581730,9,0,3
581741,9,0,3
581752,8,0,3
581763,8,0,3
581774,7,0,3
581785,6,0,3
581796,6,0,3
581807,8,0,3
581818,7,0,3
581829,8,0,3
581840,7,0,3
581851,9,0,3
581862,5,0,3
581873,14,0,3
581884,5,0,3
581895,9,0,3
581906,7,0,3
581917,9,0,3
581928,8,0,3
581939,9,0,3
581950,8,0,3
581961,8,0,3
581972,8,0,3
581983,10,0,3
581994,8,0,3
582005,8,0,3
582016,8,0,3
582027,8,0,3
582038,8,0,3
582049,11,0,3
582060,8,0,3
582071,9,0,3
582082,9,0,3
582093,10,0,3
582104,8,0,3
582115,6,0,3
582126,8,0,3
582137,7,0,3
582148,7,0,3
582159,8,0,3
582170,10,0,3
582181,9,0,3
582192,9,0,3
582203,7,0,3
582214,8,0,3
582225,10,0,3
582236,7,0,3
582247,8,0,3
582258,8,0,3
582269,5,0,3
582280,8,0,3
582291,8,0,3
582302,8,0,3
582313,8,0,3
582324,11,0,3
582335,8,0,3
582346,7,0,3
582357,6,0,3
582368,7,0,3
582379,5,0,3
582390,8,0,3
582401,7,0,3
582412,8,0,3
582423,8,0,3
582434,7,0,3
582445,5,0,3
582456,6,0,3
582467,10,0,3
582478,9,0,3
582489,7,0,3
582500,6,0,3
582511,6,0,3
582522,5,0,3
582533,7,0,3
582544,7,0,3
582555,8,0,3
582566,6,0,3
582577,6,0,3
582588,8,0,3
582599,6,0,3
582610,11,0,3
582621,7,0,3
582632,8,0,3
582643,7,0,3
582654,7,0,3
582665,8,0,3
582676,7,0,3
582687,13,0,3
582698,6,0,3
582709,10,0,3
582720,6,0,3
582731,8,0,3
582742,10,0,3
582753,8,0,3
582764,8,0,3
582775,10,0,3
582786,9,0,3
582797,6,0,3
582808,8,0,3
582819,9,0,3
582830,9,0,3
582841,8,0,3
582852,8,0,3
582863,7,0,3
582874,9,0,3
582885,8,0,3
582896,9,0,3
582907,5,0,3
582918,7,0,3
582929,8,0,3
582940,13,0,3
582951,7,0,3
582962,7,0,3
582973,9,0,3
582984,8,0,3
582995,8,0,3
583006,9,0,3
583017,6,0,3
583028,9,0,3
583039,8,0,3
583050,6,0,3
583061,7,0,3
583072,6,0,3
583083,5,0,3
583094,9,0,3
583105,7,0,3
583116,8,0,3
583127,8,0,3
583138,9,0,3
583149,7,0,3
583160,8,0,3
583171,5,0,3
583182,8,0,3
583193,10,0,3
583204,8,0,3
583215,7,0,3
583226,9,0,3
583237,9,0,3
583248,6,0,3
583259,8,0,3
583270,9,0,3
583281,7,0,3
583292,9,0,3
583303,8,0,3
583314,9,0,3
583325,8,0,3
583336,8,0,3
583347,7,0,3
583358,9,0,3
583369,4,0,3
583380,6,0,3
583391,6,0,3
583402,7,0,3
583413,6,0,3
583424,9,0,3
583435,6,0,3
583446,6,0,3
583457,14,0,3
583468,9,0,3
583479,6,0,3
583490,8,0,3
583501,10,0,3
583512,8,0,3
583523,8,0,3
583534,9,0,3
583545,7,0,3
583556,8,0,3
583567,8,0,3
583578,9,0,3
583589,8,0,3
